Symbol,Security Name,Industry
3MINDIA,3M India Ltd.,TRADING
AARTIIND,Aarti Industries Ltd.,CHEMICALS - SPECIALITY
ABAN,Aban Offshore Ltd.,OIL   EXPLORATION/PRODUCTION
ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING
AIAENG,AIA Engineering Ltd.,ELECTRICAL EQUIPMENT
AIL,Alstom India Ltd.,ELECTRICAL EQUIPMENT
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,PHARMACEUTICALS
AKZOINDIA,Akzo Nobel India Ltd.,PAINTS
ALBK,Allahabad Bank,BANKS
ALLCARGO,Allcargo Logistics Ltd.,TRAVEL AND TRANSPORT
ALOKTEXT,Alok Industries Ltd.,TEXTILE PRODUCTS
ALSTOMT&D,Alstom T&D India Ltd.,ELECTRICAL EQUIPMENT
AMARAJABAT,Amara Raja Batteries Ltd.,AUTO ANCILLARIES
AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS
AMTEKAUTO,Amtek Auto Ltd.,AUTO ANCILLARIES
ANANTRAJ,Anant Raj Ltd.,CONSTRUCTION
ANDHRABANK,Andhra Bank,BANKS
ANSALAPI,Ansal Properties & Infrastructure Ltd.,CONSTRUCTION
APARINDS,Apar Industries Ltd.,ELECTRICAL EQUIPMENT
APLLTD,Alembic Pharmaceuticals Ltd.,PHARMACEUTICALS
APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS
APOLLOTYRE,Apollo Tyres Ltd.,TYRES
ASAHIINDIA,Asahi India Glass Ltd.,AUTO ANCILLARIES
ASHOKA,Ashoka Buildcon  Ltd.,CONSTRUCTION
ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS
ASIANPAINT,Asian Paints Ltd.,PAINTS
ASTRAL,Astral Poly Technik Ltd.,PLASTIC AND PLASTIC PRODUCTS
ASTRAZEN,AstraZenca Pharma India Ltd.,PHARMACEUTICALS
ATFL,Agro Tech Foods Ltd.,SOLVENT EXTRACTION
ATUL,Atul Ltd.,CHEMICALS - SPECIALITY
AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS
AUTOAXLES,Automotive Axles Ltd.,AUTO ANCILLARIES
AXISBANK,Axis Bank Ltd.,BANKS
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS
BAJAJCORP,Bajaj Corp Ltd.,PERSONAL CARE
BAJAJELEC,Bajaj Electricals Ltd,CONSUMER DURABLES
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE
BAJAJHIND,Bajaj Hindu sthan Sugar Ltd.,SUGAR
BAJAJHLDNG,Bajaj Holdin gs & Tnvestment Ltd.,FINANCE
BAJFINANCE,Bajaj Finance Ltd.,FINANCE
BALLARPUR,Ballarpur Industries Ltd.,PAPER AND PAPER PRODUCTS
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,TRAVEL AND TRANSPORT
BALRAMCHIN,Balrampur Chini Mills Ltd.,SUGAR
BANKBARODA,Bank of Baroda,BANKS
BANKINDIA,Bank oflndia,BANKS
BASF,BASF India Ltd.,CHEMICALS - SPECIALITY
BATAINDIA,Bata India Ltd.,LEATHER AND LEATHER PRODUCTS
BBTC,Bombay Burmah Trading Corporation Ltd.,FOOD AND FOOD PROCESSING
BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL
BEML,BEML Ltd.,ENGINEERING
BERGEPAINT,Berger Paints India Ltd.,PAINTS
BFUTILITIE,BF Utilities Ltd.,CONSTRUCTION
BGRENERGY,BGR Energy Systems Ltd,ENGINEERING
BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS
BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES
BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT
BHUSANSTL,Bhushan Steel Ltd.,STEEL AND STEEL PRODUCTS
BINDALAGRO,Oswal Chemicals & Fertilizers Ltd.,CONSTRUCTION
BIOCON,Biocon Ltd.,PHARMACEUTICALS
BIRLACORPN,Birla Corporation Ltd.,CEMENT AND CEMENT PRODUCTS
BLUEDART,Blue Dart Express Ltd.,TRAVEL AND TRANSPORT
BLUESTARCO,Blue Star Ltd.,AIRCONDITIONERS
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES
BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES
BRIGADE,Brigade Enterprises Ltd.,CONSTRUCTION
